stimulusValue,stimulusValueType,stimulusType,correctResponse,cueValue,cueValueType,response1,keyCode1,response2,keyCode2
shapes_blue_spiky_02.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_03.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_01.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_02.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_04.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_04.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_03.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_01.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_03.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_04.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_02.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_curvy_03.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_01.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_03.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_curvy_04.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_curvy_03.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_01.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_05.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_04.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_04.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_04.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_04.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_03.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_05.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_curvy_05.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_03.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_05.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_05.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_04.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_01.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_spiky_01.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_03.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_spiky_05.png,image,shape,spiky,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_blue_curvy_01.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_curvy_02.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
shapes_green_curvy_02.png,image,shape,curvy,shapes_cue_shape.png,image,curvy,A,spiky,L
